unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1673042400,2023-01-06 22:00:00,ETH/USD,1266.0,1270.3,1265.8,1269.3,301.72197759,382975.706154987
1673056800,2023-01-07 02:00:00,ETH/USD,1268.6,1269.0,1266.0,1266.3,51.97006872,65809.698020136
1673071200,2023-01-07 06:00:00,ETH/USD,1264.3,1264.6,1262.1,1264.6,62.36125164,78862.03882394399
1673085600,2023-01-07 10:00:00,ETH/USD,1264.9,1265.2,1263.8,1263.9,29.63766149,37459.040357211
1673100000,2023-01-07 14:00:00,ETH/USD,1262.7,1265.0,1261.6,1265.0,81.4490744,103033.079116
1673114400,2023-01-07 18:00:00,ETH/USD,1262.4,1264.3,1262.3,1263.9,115.81069933,146373.142883187
1673128800,2023-01-07 22:00:00,ETH/USD,1264.3,1265.0,1262.0,1263.2,220.23358537,278199.065039384
1673143200,2023-01-08 02:00:00,ETH/USD,1262.1,1262.8,1259.6,1261.4,86.69892433,109362.023149862
1673157600,2023-01-08 06:00:00,ETH/USD,1263.7,1264.2,1262.5,1264.2,313.47965179,396300.975792918
1673172000,2023-01-08 10:00:00,ETH/USD,1263.2,1264.0,1261.9,1262.9,164.98105731,208354.57727679904
1673186400,2023-01-08 14:00:00,ETH/USD,1263.4,1266.3,1263.3,1266.3,134.44077505,170242.353445815
1673200800,2023-01-08 18:00:00,ETH/USD,1264.3,1265.8,1263.4,1265.4,68.60857771,86817.29423423401
1673215200,2023-01-08 22:00:00,ETH/USD,1269.8,1271.4,1268.4,1269.9,212.62694962,270014.963322438
1673229600,2023-01-09 02:00:00,ETH/USD,1294.5,1311.7,1291.1,1306.2,726.76736817,949303.536303654
1673244000,2023-01-09 06:00:00,ETH/USD,1308.3,1311.0,1307.4,1308.7,161.47047068,211316.404978916
1673258400,2023-01-09 10:00:00,ETH/USD,1317.8,1327.2,1316.4,1322.5,437.39190403,578450.793079675
1673272800,2023-01-09 14:00:00,ETH/USD,1319.5,1330.0,1316.2,1326.3,596.75430317,791475.2322943709
1673287200,2023-01-09 18:00:00,ETH/USD,1341.5,1345.0,1330.8,1334.6,1956.56655422,2611233.7232620115
1673301600,2023-01-09 22:00:00,ETH/USD,1318.1,1324.1,1317.4,1321.1,276.00014234,364623.7880453741
1673316000,2023-01-10 02:00:00,ETH/USD,1324.4,1328.4,1317.0,1321.3,187.8099654,248153.30728302
1673330400,2023-01-10 06:00:00,ETH/USD,1327.2,1327.3,1322.5,1325.0,140.4495111,186095.6022075
1673344800,2023-01-10 10:00:00,ETH/USD,1330.0,1334.7,1328.8,1333.5,200.82361471,267798.290215785
1673359200,2023-01-10 14:00:00,ETH/USD,1329.5,1336.6,1324.6,1331.9,802.82129135,1069277.677949065
1673373600,2023-01-10 18:00:00,ETH/USD,1331.9,1342.5,1331.6,1340.7,714.13771261,957444.431296227
1673388000,2023-01-10 22:00:00,ETH/USD,1339.0,1342.5,1334.7,1334.7,1094.06452322,1460247.919141734
1673402400,2023-01-11 02:00:00,ETH/USD,1338.2,1338.4,1330.6,1330.7,195.95398288,260755.96501841603
1673416800,2023-01-11 06:00:00,ETH/USD,1330.7,1333.9,1327.6,1333.5,139.22809277,185660.661708795
1673431200,2023-01-11 10:00:00,ETH/USD,1335.5,1338.4,1334.6,1336.1,161.11214536,215261.937415496
1673445600,2023-01-11 14:00:00,ETH/USD,1333.0,1334.4,1329.1,1332.0,185.40242234,246956.02655688
1673460000,2023-01-11 18:00:00,ETH/USD,1327.6,1345.0,1327.6,1338.2,257.35354625,344390.51559175004
1673474400,2023-01-11 22:00:00,ETH/USD,1342.8,1358.4,1340.6,1349.2,1257.25654661,1696290.532686212
1673488800,2023-01-12 02:00:00,ETH/USD,1401.5,1407.5,1396.5,1398.9,828.95048306,1159618.830752634
1673503200,2023-01-12 06:00:00,ETH/USD,1395.2,1401.7,1395.1,1398.6,382.40767013,534835.3674438179
1673517600,2023-01-12 10:00:00,ETH/USD,1399.9,1401.8,1397.2,1399.3,178.87677817,250302.27569328097
1673532000,2023-01-12 14:00:00,ETH/USD,1405.4,1407.6,1373.6,1380.8,771.00831214,1064608.277402912
1673546400,2023-01-12 18:00:00,ETH/USD,1427.8,1432.1,1412.7,1421.4,1247.97874603,1773876.989607042
1673560800,2023-01-12 22:00:00,ETH/USD,1426.2,1427.0,1417.5,1422.9,556.09513305,791267.764816845
1673575200,2023-01-13 02:00:00,ETH/USD,1407.0,1409.8,1405.7,1409.6,81.55446747,114959.177345712
1673589600,2023-01-13 06:00:00,ETH/USD,1406.6,1412.0,1405.9,1411.3,73.36264969,103536.707507497
1673604000,2023-01-13 10:00:00,ETH/USD,1410.0,1418.5,1404.9,1416.4,430.87547826,610292.0274074641
1673618400,2023-01-13 14:00:00,ETH/USD,1404.7,1415.9,1403.2,1410.1,424.07927144,597994.1806575439
1673632800,2023-01-13 18:00:00,ETH/USD,1417.4,1424.1,1416.1,1416.1,596.9732579,845373.83051219
1673647200,2023-01-13 22:00:00,ETH/USD,1455.5,1463.8,1449.0,1453.8,471.72163884,685788.918545592
1673661600,2023-01-14 02:00:00,ETH/USD,1553.9,1560.8,1550.6,1557.9,488.78851063,761483.6207104771
1673676000,2023-01-14 06:00:00,ETH/USD,1547.1,1556.9,1547.1,1556.6,235.62020608,366766.412784128
1673690400,2023-01-14 10:00:00,ETH/USD,1522.4,1523.5,1506.2,1522.8,610.33013873,929410.735258044
1673704800,2023-01-14 14:00:00,ETH/USD,1533.9,1543.7,1510.0,1522.2,1342.36166026,2043342.919247772
1673719200,2023-01-14 18:00:00,ETH/USD,1530.2,1534.9,1526.6,1533.9,268.56961343,411958.930040277
1673733600,2023-01-14 22:00:00,ETH/USD,1539.3,1557.5,1538.2,1551.3,426.54228697,661695.049776561
1673748000,2023-01-15 02:00:00,ETH/USD,1528.9,1531.3,1520.3,1522.6,130.62827794,198894.615991444
1673762400,2023-01-15 06:00:00,ETH/USD,1529.2,1529.6,1524.8,1526.7,77.08434652,117684.671832084
1673776800,2023-01-15 10:00:00,ETH/USD,1532.0,1532.5,1527.7,1531.9,75.05431621,114975.707002099
1673791200,2023-01-15 14:00:00,ETH/USD,1531.4,1542.6,1531.4,1540.7,95.93936369,147813.777637183
1673805600,2023-01-15 18:00:00,ETH/USD,1552.2,1552.2,1534.4,1548.6,212.85373618,329625.295848348
1673820000,2023-01-15 22:00:00,ETH/USD,1552.5,1560.1,1542.9,1555.8,366.6372007,570414.15684906
1673834400,2023-01-16 02:00:00,ETH/USD,1569.2,1585.0,1564.2,1572.7,309.19365626,486268.86320010206
1673848800,2023-01-16 06:00:00,ETH/USD,1576.6,1578.4,1570.3,1570.3,172.67377795,271149.633514885
1673863200,2023-01-16 10:00:00,ETH/USD,1544.6,1552.9,1544.6,1547.1,414.33197452,641012.997779892
1673877600,2023-01-16 14:00:00,ETH/USD,1544.5,1548.7,1532.8,1542.5,321.69069477,496207.896682725
1673892000,2023-01-16 18:00:00,ETH/USD,1561.6,1574.7,1557.7,1572.7,552.12284734,868323.6020116181
1673906400,2023-01-16 22:00:00,ETH/USD,1579.9,1585.8,1579.3,1580.0,277.51238089,438469.5618062
1673920800,2023-01-17 02:00:00,ETH/USD,1556.2,1563.0,1553.2,1563.0,198.01223019,309493.11578697
1673935200,2023-01-17 06:00:00,ETH/USD,1570.0,1570.4,1559.8,1559.9,194.9870348,304160.27558452
